"filename", "language", "JavaScript", "JSON with Comments", "HTML", "TypeScript", "JSON", "Markdown", "Vue", "SCSS", "XML", "comment", "blank", "total"
"e:\java-projects\smart-community\community-admin\src\utils\tool.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 10, 11, 90
"e:\java-projects\smart-community\community-admin\src\utils\validate.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"e:\java-projects\smart-community\community-admin\src\views\404.vue", "Vue", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
"e:\java-projects\smart-community\community-admin\src\views\community\building\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 14, 137
"e:\java-projects\smart-community\community-admin\src\views\community\building\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 125, 0, 0, 2, 10, 137
"e:\java-projects\smart-community\community-admin\src\views\community\community\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 118, 0, 0, 1, 14, 133
"e:\java-projects\smart-community\community-admin\src\views\community\community\detail.vue", "Vue", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 6, 79
"e:\java-projects\smart-community\community-admin\src\views\community\community\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 125, 0, 0, 3, 10, 138
"e:\java-projects\smart-community\community-admin\src\views\community\house\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 14, 200
"e:\java-projects\smart-community\community-admin\src\views\community\house\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 132, 0, 0, 2, 7, 141
"e:\java-projects\smart-community\community-admin\src\views\community\mall\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 160, 0, 0, 3, 16, 179
"e:\java-projects\smart-community\community-admin\src\views\community\mall\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 129, 0, 0, 2, 7, 138
"e:\java-projects\smart-community\community-admin\src\views\ext\cropper\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 8, 82
"e:\java-projects\smart-community\community-admin\src\views\ext\icons\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 5, 60
"e:\java-projects\smart-community\community-admin\src\views\ext\printJs\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"e:\java-projects\smart-community\community-admin\src\views\ext\qrcode\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"e:\java-projects\smart-community\community-admin\src\views\ext\wangeditor\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"e:\java-projects\smart-community\community-admin\src\views\home.vue", "Vue", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"e:\java-projects\smart-community\community-admin\src\views\login\account.vue", "Vue", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 10, 104
"e:\java-projects\smart-community\community-admin\src\views\login\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 6, 109
"e:\java-projects\smart-community\community-admin\src\views\login\mobile.vue", "Vue", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 13, 117
"e:\java-projects\smart-community\community-admin\src\views\message\sms\log\detail.vue", "Vue", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 6, 79
"e:\java-projects\smart-community\community-admin\src\views\message\sms\log\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 58, 0, 0, 1, 6, 65
"e:\java-projects\smart-community\community-admin\src\views\message\sms\platform\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 13, 121
"e:\java-projects\smart-community\community-admin\src\views\message\sms\platform\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 73, 0, 0, 2, 7, 82
"e:\java-projects\smart-community\community-admin\src\views\message\sms\platform\send.vue", "Vue", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 12, 82
"e:\java-projects\smart-community\community-admin\src\views\owner\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 2, 216
"e:\java-projects\smart-community\community-admin\src\views\owner\info.vue", "Vue", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 3, 158
"e:\java-projects\smart-community\community-admin\src\views\park\car\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 13, 121
"e:\java-projects\smart-community\community-admin\src\views\park\car\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 126, 0, 0, 1, 8, 135
"e:\java-projects\smart-community\community-admin\src\views\park\carport\add-or-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 17, 203
